customer_id,region,signup_date
1,Nordeste,2023-01-11
2,Sudeste,2023-09-29
3,Centro-Oeste,2024-04-08
4,Nordeste,2025-04-06
5,Sudeste,2024-10-26
6,Norte,2024-12-04
7,Nordeste,2024-05-05
8,Nordeste,2023-04-10
9,Sudeste,2023-12-18
10,Sul,2025-06-16
11,Sudeste,2023-02-09
12,Centro-Oeste,2025-03-02
13,Sul,2024-09-08
14,Nordeste,2023-09-13
15,Sudeste,2024-12-01
16,Sudeste,2025-01-23
17,Sul,2023-02-08
18,Sudeste,2023-04-06
19,Nordeste,2024-08-22
20,Sul,2025-06-18
21,Nordeste,2023-01-22
22,Sudeste,2024-08-22
23,Norte,2023-05-03
24,Centro-Oeste,2024-08-08
25,Nordeste,2024-07-14
26,Sudeste,2023-03-23
27,Sul,2024-09-04
28,Sudeste,2025-03-18
29,Sudeste,2025-02-16
30,Nordeste,2023-01-27
31,Nordeste,2023-08-10
32,Norte,2023-08-05
33,Sudeste,2024-02-12
34,Sudeste,2023-05-09
35,Sul,2025-02-07
36,Sudeste,2024-11-30
37,Sudeste,2024-12-28
38,Sul,2023-06-28
39,Sudeste,2023-01-14
40,Nordeste,2025-03-30
41,Sudeste,2023-09-18
42,Nordeste,2024-08-13
43,Nordeste,2025-03-29
44,Sudeste,2023-02-02
45,Nordeste,2023-01-05
46,Nordeste,2023-01-05
47,Sudeste,2023-05-21
48,Sudeste,2023-02-16
49,Nordeste,2025-01-07
50,Sudeste,2024-06-29
51,Sudeste,2025-06-01
52,Sudeste,2024-12-22
53,Nordeste,2025-05-16
54,Nordeste,2023-08-03
55,Nordeste,2023-09-17
56,Nordeste,2025-02-03
57,Sul,2023-08-09
58,Sul,2023-02-21
59,Sudeste,2024-08-25
60,Sudeste,2024-12-21
61,Nordeste,2025-05-21
62,Sul,2025-04-15
63,Sul,2023-04-19
64,Nordeste,2024-11-25
65,Sul,2025-01-31
66,Sul,2024-09-20
67,Sul,2025-01-07
68,Sudeste,2025-01-24
69,Sudeste,2024-02-06
70,Sudeste,2023-02-06
71,Sudeste,2024-02-15
72,Sudeste,2023-07-01
73,Centro-Oeste,2023-04-13
74,Sudeste,2023-04-23
75,Sudeste,2024-09-19
76,Sudeste,2024-03-30
77,Sudeste,2024-04-30
78,Nordeste,2024-11-01
79,Sul,2024-05-08
80,Nordeste,2024-07-21
81,Nordeste,2023-03-19
82,Sudeste,2025-02-05
83,Nordeste,2024-02-08
84,Sudeste,2023-05-20
85,Sudeste,2025-01-01
86,Sudeste,2024-10-23
87,Nordeste,2023-02-17
88,Sul,2023-06-23
89,Sudeste,2023-01-15
90,Sul,2023-09-01
91,Sudeste,2023-03-31
92,Nordeste,2024-09-30
93,Sudeste,2024-04-15
94,Sudeste,2025-06-01
95,Sudeste,2024-11-05
96,Sul,2024-07-04
97,Sudeste,2024-04-03
98,Sudeste,2023-02-19
99,Sudeste,2023-03-05
100,Norte,2024-07-08
101,Centro-Oeste,2023-01-04
102,Nordeste,2023-02-08
103,Sudeste,2023-07-17
104,Norte,2025-03-06
105,Nordeste,2024-02-18
106,Nordeste,2024-09-30
107,Sudeste,2024-01-06
108,Sudeste,2023-06-05
109,Sudeste,2023-12-01
110,Centro-Oeste,2023-03-24
111,Sul,2024-11-24
112,Sudeste,2023-06-15
113,Sudeste,2023-12-05
114,Sul,2025-06-01
115,Sudeste,2024-06-16
116,Centro-Oeste,2024-02-17
117,Nordeste,2024-05-03
118,Nordeste,2024-12-06
119,Sudeste,2023-08-18
120,Sul,2024-07-26
121,Sul,2025-02-24
122,Sul,2024-05-30
123,Sudeste,2024-02-06
124,Sudeste,2023-05-11
125,Sudeste,2023-08-12
126,Sul,2025-05-01
127,Sudeste,2024-05-02
128,Sudeste,2023-09-29
129,Sudeste,2024-01-12
130,Sul,2024-06-04
131,Sudeste,2024-04-28
132,Centro-Oeste,2024-09-21
133,Sul,2023-08-20
134,Sudeste,2024-08-07
135,Sul,2024-02-03
136,Sudeste,2025-04-26
137,Norte,2023-05-23
138,Sul,2023-05-14
139,Nordeste,2024-02-20
140,Sudeste,2024-04-02
141,Sul,2024-09-13
142,Sul,2023-12-30
143,Centro-Oeste,2025-04-02
144,Sul,2024-03-02
145,Sul,2023-04-27
146,Sudeste,2023-04-18
147,Sudeste,2025-05-26
148,Sul,2023-05-01
149,Sudeste,2025-05-03
150,Sudeste,2023-09-08
151,Nordeste,2023-03-26
152,Centro-Oeste,2023-10-02
153,Sudeste,2024-07-07
154,Sul,2024-01-21
155,Sudeste,2024-12-08
156,Nordeste,2024-07-03
157,Sudeste,2023-12-27
158,Nordeste,2024-07-25
159,Nordeste,2025-05-24
160,Nordeste,2024-01-06
161,Sudeste,2023-05-19
162,Centro-Oeste,2024-01-03
163,Sudeste,2025-01-26
164,Sudeste,2023-07-15
165,Sul,2025-05-04
166,Sudeste,2024-06-13
167,Nordeste,2024-06-25
168,Nordeste,2023-10-13
169,Sudeste,2025-04-08
170,Norte,2023-02-02
171,Sudeste,2023-09-26
172,Sul,2024-01-12
173,Sudeste,2024-03-05
174,Centro-Oeste,2024-03-02
175,Sudeste,2023-05-14
176,Sudeste,2023-07-23
177,Sudeste,2023-03-27
178,Norte,2024-05-30
179,Centro-Oeste,2023-11-12
180,Nordeste,2024-05-24
181,Centro-Oeste,2024-06-14
182,Centro-Oeste,2024-09-23
183,Sul,2024-05-07
184,Sudeste,2024-08-06
185,Nordeste,2024-06-12
186,Nordeste,2024-08-10
187,Sudeste,2024-07-08
188,Sudeste,2023-10-12
189,Nordeste,2023-08-10
190,Sudeste,2024-12-09
191,Centro-Oeste,2023-11-05
192,Sudeste,2024-05-09
193,Sudeste,2023-06-27
194,Nordeste,2024-01-24
195,Sudeste,2024-04-21
196,Sudeste,2024-07-17
197,Sul,2024-04-18
198,Centro-Oeste,2023-11-21
199,Sudeste,2025-05-15
200,Sudeste,2024-04-06
201,Nordeste,2024-12-28
202,Norte,2024-10-25
203,Sul,2024-05-17
204,Sudeste,2025-03-08
205,Sudeste,2023-04-26
206,Sudeste,2025-04-08
207,Sudeste,2025-02-04
208,Nordeste,2024-03-29
209,Sudeste,2024-10-22
210,Sul,2024-04-13
211,Nordeste,2023-08-30
212,Sul,2024-12-20
213,Sudeste,2023-08-10
214,Nordeste,2023-10-11
215,Nordeste,2024-04-12
216,Nordeste,2025-01-23
217,Sudeste,2023-12-12
218,Sudeste,2024-03-20
219,Centro-Oeste,2023-02-07
