order_id,order_date,customer_id,channel,product_id,quantity,status
1,2025-11-14,344,App,16,2,concluído
2,2025-06-06,34,App,55,1,concluído
3,2025-05-18,298,Marketplace,11,1,concluído
4,2025-07-13,205,Marketplace,8,4,concluído
5,2025-12-25,303,Site,35,1,concluído
6,2025-05-26,181,App,35,2,concluído
7,2026-07-03,64,Marketplace,34,1,concluído
8,2025-10-15,301,Marketplace,9,3,concluído
9,2026-06-02,253,Site,30,3,concluído
10,2026-02-14,186,App,56,2,concluído
11,2025-07-20,150,App,6,4,concluído
12,2025-05-17,138,Site,48,2,concluído
13,2026-03-23,193,Marketplace,8,3,concluído
14,2025-07-18,105,Site,15,2,concluído
15,2025-05-29,113,App,54,3,concluído
16,2026-07-13,112,Site,18,1,concluído
17,2025-10-17,6,Marketplace,32,2,concluído
18,2025-01-30,372,Site,23,3,concluído
19,2025-10-24,95,Marketplace,37,4,concluído
20,2025-10-04,67,App,25,2,concluído
21,2026-06-03,61,App,27,2,concluído
22,2026-03-03,396,Site,50,2,concluído
23,2025-04-25,191,Site,34,2,concluído
24,2025-04-01,131,Marketplace,34,4,concluído
25,2025-12-29,162,Site,49,3,concluído
26,2025-01-29,36,App,26,2,concluído
27,2025-07-11,126,App,50,2,concluído
28,2025-03-24,100,Site,44,3,concluído
29,2025-01-13,322,App,54,3,concluído
30,2026-07-06,24,Site,28,2,concluído
31,2025-02-23,171,App,34,4,concluído
32,2025-01-06,317,App,8,2,cancelado
33,2026-07-14,334,Site,7,2,concluído
34,2025-04-23,206,App,7,1,concluído
35,2026-05-05,90,Site,38,2,concluído
36,2025-01-19,135,Site,20,4,concluído
37,2025-04-03,89,Site,18,4,concluído
38,2025-03-08,265,Site,37,2,concluído
39,2026-02-28,118,Marketplace,24,1,cancelado
40,2026-01-08,253,Marketplace,9,3,concluído
41,2025-10-13,263,App,34,3,concluído
42,2025-05-25,376,App,34,4,concluído
43,2025-02-23,149,Site,9,3,concluído
44,2025-12-08,385,Site,17,1,cancelado
45,2025-05-19,161,Site,15,4,concluído
46,2025-12-21,273,Site,42,3,cancelado
47,2026-02-17,265,Marketplace,15,4,concluído
48,2026-05-25,328,App,2,1,concluído
49,2025-10-24,188,Site,17,2,cancelado
50,2025-01-03,317,App,29,2,concluído
51,2025-06-18,143,Site,47,2,concluído
52,2026-05-28,197,Site,4,4,concluído
53,2025-11-16,200,Site,53,1,concluído
54,2026-01-07,282,App,20,1,concluído
55,2025-10-02,248,Marketplace,21,1,concluído
56,2025-04-08,32,Marketplace,1,4,concluído
57,2026-06-23,324,Site,17,1,concluído
58,2026-04-09,304,Marketplace,29,3,concluído
59,2026-08-21,42,Site,38,1,concluído
60,2026-05-29,385,Marketplace,47,2,concluído
61,2025-06-24,265,App,32,3,concluído
62,2025-06-02,34,App,7,1,concluído
63,2025-05-30,197,App,24,1,concluído
64,2026-07-06,335,App,45,3,concluído
65,2025-12-01,112,Site,39,1,concluído
66,2025-09-30,374,App,36,2,concluído
67,2026-08-04,168,Site,31,3,concluído
68,2025-12-29,91,App,31,1,concluído
69,2026-06-30,143,App,60,1,concluído
70,2026-08-14,210,Marketplace,36,2,concluído
71,2025-02-17,276,Site,36,3,concluído
72,2025-08-05,372,Marketplace,21,1,concluído
73,2026-03-17,78,Site,30,2,concluído
74,2026-05-03,385,App,43,4,concluído
75,2025-03-31,212,Site,52,2,concluído
76,2025-07-11,52,Site,47,2,concluído
77,2025-11-25,371,App,40,3,concluído
78,2026-04-25,140,Marketplace,47,2,concluído
79,2025-03-09,249,Site,2,2,concluído
80,2025-12-27,280,Site,17,4,concluído
81,2025-06-27,6,Site,15,1,concluído
82,2025-05-10,89,Site,40,3,concluído
83,2025-11-06,275,App,46,2,concluído
84,2025-09-06,130,Marketplace,9,4,concluído
85,2026-01-17,4,Site,12,3,concluído
86,2025-07-10,10,App,30,4,concluído
87,2026-05-09,331,App,59,1,concluído
88,2025-02-16,62,Site,1,1,concluído
89,2026-06-02,41,Marketplace,53,4,concluído
90,2025-01-18,225,Marketplace,12,2,concluído
91,2026-03-18,48,Site,17,4,concluído
92,2025-07-27,262,Marketplace,38,3,concluído
93,2025-08-19,218,Site,44,2,concluído
94,2025-01-12,260,App,53,1,concluído
95,2026-02-26,197,Site,1,1,concluído
96,2025-04-10,312,App,3,3,concluído
97,2026-01-31,258,App,29,1,concluído
98,2026-03-12,167,Site,34,1,concluído
99,2026-05-23,7,App,16,1,cancelado
100,2026-03-01,110,Marketplace,39,4,concluído
101,2025-06-30,53,Marketplace,16,3,concluído
102,2026-03-20,7,App,56,3,concluído
103,2026-05-11,110,Site,11,3,concluído
104,2025-07-10,83,Site,40,3,concluído
105,2025-03-16,31,App,32,2,concluído
106,2026-06-19,125,App,7,2,concluído
107,2025-03-30,203,App,37,3,concluído
108,2025-12-23,72,App,9,4,cancelado
109,2025-05-22,110,App,33,4,concluído
110,2025-03-17,9,App,39,3,concluído
111,2026-04-11,21,App,5,4,concluído
112,2025-03-28,63,Marketplace,13,4,concluído
113,2026-02-07,182,App,18,3,concluído
114,2026-02-20,267,App,56,4,concluído
115,2025-02-06,316,Site,14,1,concluído
116,2025-04-14,252,App,56,1,concluído
117,2026-04-22,247,Site,33,2,concluído
118,2025-11-01,375,App,57,1,concluído
