product_id,category,unit_cost,unit_price
1,Esporte,370.63,576.73
2,Casa,330.81,697.11
3,Esporte,24.42,36.91
4,Beleza,155.35,247.44
5,Beleza,28.99,61.41
6,Esporte,52.62,93.48
7,Casa,273.37,538.02
8,Beleza,288.17,527.83
9,Moda,311.75,588.61
10,Esporte,347.53,545.43
11,Beleza,298.38,452.71
12,Beleza,322.34,512.6
13,Casa,29.1,41.9
14,Esporte,101.47,211.76
15,Eletrônicos,252.54,392.68
16,Eletrônicos,344.67,622.25
17,Casa,11.76,23.67
18,Beleza,210.71,422.57
19,Esporte,274.14,464.54
20,Casa,21.55,37.25
21,Beleza,166.53,365.57
22,Casa,359.3,685.23
23,Esporte,271.93,552.88
24,Beleza,102.69,216.91
25,Casa,342.58,688.19
26,Esporte,145.73,213.74
27,Eletrônicos,342.8,619.08
28,Esporte,126.59,176.18
29,Eletrônicos,240.22,453.45
30,Moda,164.81,355.96
31,Esporte,117.18,206.41
32,Beleza,355.76,601.12
33,Esporte,83.16,110.79
34,Beleza,43.08,93.22
35,Beleza,143.35,199.64
36,Moda,289.88,387.56
37,Eletrônicos,324.9,494.32
38,Eletrônicos,399.51,542.93
39,Moda,125.58,214.69
40,Eletrônicos,169.1,298.37
41,Casa,63.36,100.19
42,Beleza,234.2,315.2
43,Esporte,399.06,558.86
44,Casa,283.34,466.39
45,Esporte,242.13,327.96
46,Esporte,163.02,314.36
47,Esporte,366.97,545.43
48,Casa,203.8,320.35
49,Moda,62.4,103.25
50,Esporte,152.5,255.43
51,Moda,36.2,47.11
52,Casa,88.77,124.35
53,Eletrônicos,16.89,35.07
54,Beleza,186.78,243.02
55,Beleza,257.47,452.47
56,Eletrônicos,143.88,250.43
57,Moda,173.95,278.28
58,Casa,384.09,648.42
59,Casa,303.27,607.31
60,Esporte,220.93,454.47
